xi_1,xi_2,P
1.3727115945394623,2.279547440855896,0.0
1.3634303202028437,2.281974729715514,0.0
1.3541252374420247,2.284309086015206,0.0
1.3447972767575274,2.286550276321287,0.0
1.3354473709376464,2.288698076516593,0.0
1.3260764549651727,2.290752271822896,0.0
1.3166854659238942,2.2927126568223763,0.0
1.3072753429048891,2.2945790354781677,0.0
1.2978470269126179,2.2963512211539596,0.0
1.2884014607708227,2.298029036632662,0.0
1.2789395890282467,2.299612314134124,0.0
1.2694623578641786,2.301100895331916,0.0
1.259970714993838,2.302494631369158,0.0
1.2504656095736015,2.3037933828734087,0.0
1.2409479921060906,2.304997019970599,0.0
1.2314188143451208,2.3061054222980224,0.0
1.221879029200527,2.30711847901637,0.0
1.212329590642874,2.3080360888208142,0.0
1.2027714536080598,2.308858159951139,0.0
1.1932055739018228,2.3095846102009165,0.0
1.1836329081041619,2.310215366925727,0.0
1.1740544134736797,2.310750367050424,0.0
1.1644710478518574,2.3111895570754406,0.0
1.154883769567271,2.3115328930821404,0.0
1.1452935373397592,2.3117803407372084,0.0
1.1357013101845534,2.3119318752960862,0.0
1.1261080473163756,2.3119874816054433,0.0
1.116514708053518,2.3119471541046956,0.0
1.1069222517219128,2.3118108968265596,0.0
1.097331637559199,2.311578723396649,0.0
1.0877438246188011,2.3112506570321143,0.0
1.0781597716740232,2.3108267305393175,0.0
1.0685804371221732,2.3103069863105556,0.0
1.0590067788887234,2.3096914763198173,0.0
1.049439754331519,2.3089802621175894,0.0
1.0398803201450435,2.3081734148246995,0.0
1.0303294322647496,2.3072710151252043,0.0
1.0207880457714655,2.306273153258322,0.0
1.01125711479589,2.3051799290094075,0.0
1.001737592423178,2.3039914516999747,0.0
0.9922304305976339,2.302707840176764,0.0
0.9827365800275178,2.3013292227998585,0.0
0.973256990089975,2.299855737429847,0.0
0.9637926087360998,2.298287531414038,0.0
0.9543443823961406,2.2966247615717266,0.0
0.9449132558848576,2.2948675941785113,0.0
0.9355001723070432,2.2930162049496676,0.0
0.9261060729632106,2.291070779022575,0.0
0.9167318972554658,2.289031510938205,0.0
0.907378582593568,2.2868986046216673,0.0
0.8980470643011887,2.2846722733618154,0.0
0.8887382755223812,2.282352739789921,0.0
0.8794531471282658,2.2799402358574072,0.0
0.8701926076239447,2.2774350028126573,0.0
0.8609575830556508,2.274837291176888,0.0
0.8517489969181455,2.2721473607190985,0.0
0.8425677700623685,2.2693654804300927,0.0
0.8334148206033545,2.266491928495581,0.0
0.8242910638284218,2.2635269922683627,0.0
0.815197412105645,2.2604709682395896,0.0
0.8061347747926182,2.257324162009118,0.0
0.7971040581455209,2.2540868882549483,0.0
0.7881061652284916,2.2507594707017584,0.0
0.7791419958233242,2.247342242088531,0.0
0.770212446339489,2.2438355441352793,0.0
0.7613184097244932,2.2402397275088766,0.0
0.7524607753745866,2.2365551517879894,0.0
0.7436404290458226,2.2327821854271184,0.0
0.7348582527654843,2.2289212057197565,0.0
0.7261151247438808,2.2249725987606563,0.0
0.7174119192865285,2.2209367594072233,0.0
0.7087495067067209,2.21681409124003,0.0
0.7001287532384965,2.212605006522458,0.0
0.6915505209500191,2.2083099261594703,0.0
0.6830156676573687,2.203929279655525,0.0
0.6745250468387616,2.199463505071621,0.0
0.666079507549205,2.1949130489814963,0.0
0.6576798943355893,2.190278366426967,0.0
0.649327047152237,2.1855599208724272,0.0
0.6410218012769047,2.1807581841584995,0.0
0.63276498722726,2.1758736364548543,0.0
0.6245574306778262,2.170906766212191,0.0
0.6163999523774195,2.165858070113396,0.0
0.6082933680670715,2.1607280530238704,0.0
0.6002384883984583,2.1555172279410493,0.0
0.5922361188528336,2.150226115943098,0.0
0.5842870596604841,2.144855246136808,0.0
0.5763921057207042,2.139405155604683,0.0
0.5685520465223096,2.133876389351235,0.0
0.5607676660646859,2.128269500248482,0.0
0.5530397427793925,2.122585048980662,0.0
0.5453690494523175,2.116823603988165,0.0
0.537756353146402,2.1109857414106887,0.0
0.530202415124932,2.105072045029626,0.0
0.5227079907754156,2.099083106209687,0.0
0.5152738295340415,2.0930195238397626,0.0
0.5079006748107395,2.0868819042730378,0.0
0.500589263914837,2.0806708612663534,0.0
0.4933403279813313,2.0743870159188353,0.0
0.48615459189777444,2.0680309966097807,0.0
0.4790327742317875,2.0616034389358244,0.0
0.4719755871592015,2.055104985647378,0.0
0.46498373639284285,2.048536286584354,0.0
0.4580579211119621,2.0418979986111854,0.0
0.4511988338923152,2.035190785551137,0.0
0.44440716063690877,2.0284153181199267,0.0
0.4376835805074082,2.0215722738586503,0.0
0.43102876585622407,2.0146623370660315,0.0
0.42444338215927513,2.007686198729992,0.0
0.4179280879494438,2.0006445564585515,0.0
0.4114835347507214,1.993538114410069,0.0
0.4051103670130576,1.9863675832228278,0.0
0.3988092220479148,1.9791336799439707,0.0
0.3925807299645392,1.971837127957798,0.0
0.3864255136069481,1.9644786569134267,0.0
0.3803441884916484,1.9570590026518304,0.0
0.37433736274608354,1.9495789071322518,0.0
0.3684056370478227,1.9420391183580095,0.0
0.36254960456449226,1.9344403903016976,0.0
0.356769850894461,1.9267834828297898,0.0
0.35106695400827903,1.919069161626652,0.0
0.34544148419088305,1.9112981981179766,0.0
